date,amount,phase,containment,zone,plume_group,region
2020-01-01,1883742663.4364204,total,total,all,all,all
2040-01-01,2128717771.4416158,total,total,all,all,all
2060-01-01,2391343980.7116237,total,total,all,all,all
2080-01-01,2668669491.6071606,total,total,all,all,all
2100-01-01,2957081455.1234307,total,total,all,all,all
2120-01-01,3253247375.0617323,total,total,all,all,all
2140-01-01,3554720118.1839566,total,total,all,all,all
2160-01-01,3860166743.4822946,total,total,all,all,all
2180-01-01,4169323360.6266875,total,total,all,all,all
2200-01-01,4482802529.143365,total,total,all,all,all
2020-01-01,154235184.02102315,dissolved_water,total,all,all,all
2040-01-01,170689780.16471064,dissolved_water,total,all,all,all
2060-01-01,186846959.78882974,dissolved_water,total,all,all,all
2080-01-01,202439028.02308798,dissolved_water,total,all,all,all
2100-01-01,217310535.44096377,dissolved_water,total,all,all,all
2120-01-01,231421396.3250621,dissolved_water,total,all,all,all
2140-01-01,244826968.3456092,dissolved_water,total,all,all,all
2160-01-01,257653227.20599213,dissolved_water,total,all,all,all
2180-01-01,270073564.36126137,dissolved_water,total,all,all,all
2200-01-01,282287842.43671453,dissolved_water,total,all,all,all
2020-01-01,1729507479.4153974,gas,total,all,all,all
2040-01-01,1958027991.2769053,gas,total,all,all,all
2060-01-01,2204497020.922794,gas,total,all,all,all
2080-01-01,2466230463.5840726,gas,total,all,all,all
2100-01-01,2739770919.682467,gas,total,all,all,all
2120-01-01,3021825978.736671,gas,total,all,all,all
2140-01-01,3309893149.838347,gas,total,all,all,all
2160-01-01,3602513516.276303,gas,total,all,all,all
2180-01-01,3899249796.265426,gas,total,all,all,all
2200-01-01,4200514686.7066507,gas,total,all,all,all
2020-01-01,1815824246.75565,total,contained,all,all,all
2040-01-01,2007508582.176139,total,contained,all,all,all
2060-01-01,2194584868.498756,total,contained,all,all,all
2080-01-01,2373712354.920289,total,contained,all,all,all
2100-01-01,2542850289.997418,total,contained,all,all,all
2120-01-01,2701222532.4708047,total,contained,all,all,all
2140-01-01,2849021491.033886,total,contained,all,all,all
2160-01-01,2987086912.461138,total,contained,all,all,all
2180-01-01,3116646424.531534,total,contained,all,all,all
2200-01-01,3239127375.452816,total,contained,all,all,all
2020-01-01,153989721.66678983,dissolved_water,contained,all,all,all
2040-01-01,170245379.40019864,dissolved_water,contained,all,all,all
2060-01-01,186110254.71109265,dissolved_water,contained,all,all,all
2080-01-01,201301037.53393894,dissolved_water,contained,all,all,all
2100-01-01,215644663.35144764,dissolved_water,contained,all,all,all
2120-01-01,229075312.03994045,dissolved_water,contained,all,all,all
2140-01-01,241609300.6858322,dissolved_water,contained,all,all,all
2160-01-01,253317843.43460163,dissolved_water,contained,all,all,all
2180-01-01,264305048.4125348,dissolved_water,contained,all,all,all
2200-01-01,274691960.8989997,dissolved_water,contained,all,all,all
2020-01-01,1661834525.0888603,gas,contained,all,all,all
2040-01-01,1837263202.7759404,gas,contained,all,all,all
2060-01-01,2008474613.7876635,gas,contained,all,all,all
2080-01-01,2172411317.38635,gas,contained,all,all,all
2100-01-01,2327205626.6459703,gas,contained,all,all,all
2120-01-01,2472147220.4308643,gas,contained,all,all,all
2140-01-01,2607412190.348054,gas,contained,all,all,all
2160-01-01,2733769069.0265365,gas,contained,all,all,all
2180-01-01,2852341376.1189995,gas,contained,all,all,all
2200-01-01,2964435414.553817,gas,contained,all,all,all
2020-01-01,91256.68139133565,total,hazardous,all,all,all
2040-01-01,257491.6123779341,total,hazardous,all,all,all
2060-01-01,646430.7217823985,total,hazardous,all,all,all
2080-01-01,1470641.2339275996,total,hazardous,all,all,all
2100-01-01,3075662.5212844624,total,hazardous,all,all,all
2120-01-01,5979956.820750314,total,hazardous,all,all,all
2140-01-01,10904925.666231468,total,hazardous,all,all,all
2160-01-01,18782019.540520243,total,hazardous,all,all,all
2180-01-01,30723571.986645605,total,hazardous,all,all,all
2200-01-01,47948602.15890018,total,hazardous,all,all,all
2020-01-01,6436.86831722779,dissolved_water,hazardous,all,all,all
2040-01-01,18162.391798577813,dissolved_water,hazardous,all,all,all
2060-01-01,45596.545577635676,dissolved_water,hazardous,all,all,all
2080-01-01,103732.941197839,dissolved_water,hazardous,all,all,all
2100-01-01,216944.49475806364,dissolved_water,hazardous,all,all,all
2120-01-01,421801.3849617432,dissolved_water,hazardous,all,all,all
2140-01-01,769188.2879422131,dissolved_water,hazardous,all,all,all
2160-01-01,1324805.8626577077,dissolved_water,hazardous,all,all,all
2180-01-01,2167113.509912086,dissolved_water,hazardous,all,all,all
2200-01-01,3382095.791632504,dissolved_water,hazardous,all,all,all
2020-01-01,84819.81307410785,gas,hazardous,all,all,all
2040-01-01,239329.22057935628,gas,hazardous,all,all,all
2060-01-01,600834.1762047629,gas,hazardous,all,all,all
2080-01-01,1366908.2927297605,gas,hazardous,all,all,all
2100-01-01,2858718.026526399,gas,hazardous,all,all,all
2120-01-01,5558155.435788571,gas,hazardous,all,all,all
2140-01-01,10135737.378289254,gas,hazardous,all,all,all
2160-01-01,17457213.677862536,gas,hazardous,all,all,all
2180-01-01,28556458.47673352,gas,hazardous,all,all,all
2200-01-01,44566506.367267676,gas,hazardous,all,all,all
2020-01-01,67827159.99937923,total,outside,all,all,all
2040-01-01,120951697.65309899,total,outside,all,all,all
2060-01-01,196112681.49108526,total,outside,all,all,all
2080-01-01,293486495.4529434,total,outside,all,all,all
2100-01-01,411155502.6047281,total,outside,all,all,all
2120-01-01,546044885.7701776,total,outside,all,all,all
2140-01-01,694793701.4838388,total,outside,all,all,all
2160-01-01,854297811.4806368,total,outside,all,all,all
2180-01-01,1021953364.1085075,total,outside,all,all,all
2200-01-01,1195726551.5316484,total,outside,all,all,all
2020-01-01,239025.48591609587,dissolved_water,outside,all,all,all
2040-01-01,426238.37271342764,dissolved_water,outside,all,all,all
2060-01-01,691108.5321594508,dissolved_water,outside,all,all,all
2080-01-01,1034257.5479512026,dissolved_water,outside,all,all,all
