date,amount,phase,containment,zone,plume_group,region
2020-01-01,8970203.159221051,total,total,all,all,all
2040-01-01,10136751.292579126,total,total,all,all,all
2060-01-01,11387352.289102972,total,total,all,all,all
2080-01-01,12707949.9600341,total,total,all,all,all
2100-01-01,14081340.262492528,total,total,all,all,all
2120-01-01,15491654.166960632,total,total,all,all,all
2140-01-01,16927238.658018842,total,total,all,all,all
2160-01-01,18381746.39753474,total,total,all,all,all
2180-01-01,19853920.76488899,total,total,all,all,all
2200-01-01,21346678.710206494,total,total,all,all,all
2020-01-01,734453.2572429674,dissolved_water,total,all,all,all
2040-01-01,812808.4769748125,dissolved_water,total,all,all,all
2060-01-01,889747.4275658561,dissolved_water,total,all,all,all
2080-01-01,963995.3715385144,dissolved_water,total,all,all,all
2100-01-01,1034812.073528399,dissolved_water,total,all,all,all
2120-01-01,1102006.6491669624,dissolved_water,total,all,all,all
2140-01-01,1165842.706407663,dissolved_water,total,all,all,all
2160-01-01,1226920.1295523434,dissolved_water,total,all,all,all
2180-01-01,1286064.5921964832,dissolved_water,total,all,all,all
2200-01-01,1344227.821127212,dissolved_water,total,all,all,all
2020-01-01,8235749.901978082,gas,total,all,all,all
2040-01-01,9323942.815604312,gas,total,all,all,all
2060-01-01,10497604.861537118,gas,total,all,all,all
2080-01-01,11743954.588495584,gas,total,all,all,all
2100-01-01,13046528.188964128,gas,total,all,all,all
2120-01-01,14389647.51779367,gas,total,all,all,all
2140-01-01,15761395.951611178,gas,total,all,all,all
2160-01-01,17154826.267982394,gas,total,all,all,all
2180-01-01,18567856.172692504,gas,total,all,all,all
2200-01-01,20002450.889079284,gas,total,all,all,all
2020-01-01,8646782.127407858,total,contained,all,all,all
2040-01-01,9559564.677029233,total,contained,all,all,all
2060-01-01,10450404.135708366,total,contained,all,all,all
2080-01-01,11303392.166287092,total,contained,all,all,all
2100-01-01,12108810.90474961,total,contained,all,all,all
2120-01-01,12862964.440337166,total,contained,all,all,all
2140-01-01,13566769.00492327,total,contained,all,all,all
2160-01-01,14224223.392672084,total,contained,all,all,all
2180-01-01,14841173.450150168,total,contained,all,all,all
2200-01-01,15424416.073584838,total,contained,all,all,all
2020-01-01,733284.3888894753,dissolved_water,contained,all,all,all
2040-01-01,810692.2828580886,dissolved_water,contained,all,all,all
2060-01-01,886239.3081480605,dissolved_water,contained,all,all,all
2080-01-01,958576.3692092332,dissolved_water,contained,all,all,all
2100-01-01,1026879.3492926079,dissolved_water,contained,all,all,all
2120-01-01,1090834.8192378115,dissolved_water,contained,all,all,all
2140-01-01,1150520.479456344,dissolved_water,contained,all,all,all
2160-01-01,1206275.4449266745,dissolved_water,contained,all,all,all
2180-01-01,1258595.4686311183,dissolved_water,contained,all,all,all
2200-01-01,1308056.9566619033,dissolved_water,contained,all,all,all
2020-01-01,7913497.7385183815,gas,contained,all,all,all
2040-01-01,8748872.394171145,gas,contained,all,all,all
2060-01-01,9564164.827560306,gas,contained,all,all,all
2080-01-01,10344815.797077859,gas,contained,all,all,all
2100-01-01,11081931.555457002,gas,contained,all,all,all
2120-01-01,11772129.621099355,gas,contained,all,all,all
2140-01-01,12416248.525466925,gas,contained,all,all,all
2160-01-01,13017947.947745409,gas,contained,all,all,all
2180-01-01,13582577.981519049,gas,contained,all,all,all
2200-01-01,14116359.116922935,gas,contained,all,all,all
2020-01-01,434.5556256730269,total,hazardous,all,all,all
2040-01-01,1226.1505351330195,total,hazardous,all,all,all
2060-01-01,3078.241532297135,total,hazardous,all,all,all
2080-01-01,7003.053494893332,total,hazardous,all,all,all
2100-01-01,14646.012006116485,total,hazardous,all,all,all
2120-01-01,28475.984860715773,total,hazardous,all,all,all
2140-01-01,51928.21745824508,total,hazardous,all,all,all
2160-01-01,89438.18828819165,total,hazardous,all,all,all
2180-01-01,146302.72374593146,total,hazardous,all,all,all
2200-01-01,228326.67694714371,total,hazardous,all,all,all
2020-01-01,30.651753891560904,dissolved_water,hazardous,all,all,all
2040-01-01,86.48757999322767,dissolved_water,hazardous,all,all,all
2060-01-01,217.12640751255077,dissolved_water,hazardous,all,all,all
2080-01-01,493.9663866563762,dissolved_water,hazardous,all,all,all
2100-01-01,1033.0690226574457,dissolved_water,hazardous,all,all,all
2120-01-01,2008.578023627348,dissolved_water,hazardous,all,all,all
2140-01-01,3662.8013711533954,dissolved_water,hazardous,all,all,all
2160-01-01,6308.599345989086,dissolved_water,hazardous,all,all,all
2180-01-01,10319.588142438506,dissolved_water,hazardous,all,all,all
2200-01-01,16105.218055392877,dissolved_water,hazardous,all,all,all
2020-01-01,403.90387178146597,gas,hazardous,all,all,all
2040-01-01,1139.6629551397918,gas,hazardous,all,all,all
2060-01-01,2861.115124784584,gas,hazardous,all,all,all
2080-01-01,6509.087108236956,gas,hazardous,all,all,all
2100-01-01,13612.94298345904,gas,hazardous,all,all,all
2120-01-01,26467.406837088423,gas,hazardous,all,all,all
2140-01-01,48265.41608709169,gas,hazardous,all,all,all
2160-01-01,83129.58894220256,gas,hazardous,all,all,all
2180-01-01,135983.13560349296,gas,hazardous,all,all,all
2200-01-01,212221.45889175084,gas,hazardous,all,all,all
2020-01-01,322986.47618752025,total,outside,all,all,all
2040-01-01,575960.465014757,total,outside,all,all,all
2060-01-01,933869.9118623108,total,outside,all,all,all
2080-01-01,1397554.7402521118,total,outside,all,all,all
2100-01-01,1957883.345736801,total,outside,all,all,all
2120-01-01,2600213.7417627517,total,outside,all,all,all
2140-01-01,3308541.435637329,total,outside,all,all,all
2160-01-01,4068084.8165744613,total,outside,all,all,all
2180-01-01,4866444.590992892,total,outside,all,all,all
2200-01-01,5693935.959674514,total,outside,all,all,all
2020-01-01,1138.216599600457,dissolved_water,outside,all,all,all
2040-01-01,2029.7065367306077,dissolved_water,outside,all,all,all
2060-01-01,3290.993010283099,dissolved_water,outside,all,all,all
2080-01-01,4925.035942624775,dissolved_water,outside,all,all,all
2100-01-01,6899.655213133698,dissolved_water,outside,all,all,all
2120-01-01,9163.25190552339,dissolved_water,outside,all,all,all
2140-01-01,11659.425580165642,dissolved_water,outside,all,all,all
2160-01-01,14336.085279680023,dissolved_water,outside,all,all,all
2180-01-01,17149.535422926132,dissolved_water,outside,all,all,all
2200-01-01,20065.64640991586,dissolved_water,outside,all,all,all
2020-01-01,321848.2595879198,gas,outside,all,all,all
2040-01-01,573930.7584780264,gas,outside,all,all,all
2060-01-01,930578.9188520277,gas,outside,all,all,all
2080-01-01,1392629.704309487,gas,outside,all,all,all
