date,amount,phase,containment,zone,plume_group,region
2020-01-01,2135542026.5014596,total,total,all,all,all
2040-01-01,2327591067.4737186,total,total,all,all,all
2060-01-01,2531047883.666416,total,total,all,all,all
2080-01-01,2747323764.405306,total,total,all,all,all
2100-01-01,2977356999.213023,total,total,all,all,all
2120-01-01,3221560904.619334,total,total,all,all,all
2140-01-01,3479849163.066508,total,total,all,all,all
2160-01-01,3751747432.991084,total,total,all,all,all
2180-01-01,4036569161.394334,total,total,all,all,all
2200-01-01,4333612742.46999,total,total,all,all,all
2020-01-01,85094021.60202059,dissolved_water,total,all,all,all
2040-01-01,92647635.08049926,dissolved_water,total,all,all,all
2060-01-01,100611138.10685894,dissolved_water,total,all,all,all
2080-01-01,109031672.41634578,dissolved_water,total,all,all,all
2100-01-01,117939818.01266125,dissolved_water,total,all,all,all
2120-01-01,127348660.68665762,dissolved_water,total,all,all,all
2140-01-01,137254823.69576123,dissolved_water,total,all,all,all
2160-01-01,147642098.34635362,dissolved_water,total,all,all,all
2180-01-01,158487278.12120548,dissolved_water,total,all,all,all
2200-01-01,169766858.2071318,dissolved_water,total,all,all,all
2020-01-01,2050448004.899439,gas,total,all,all,all
2040-01-01,2234943432.393219,gas,total,all,all,all
2060-01-01,2430436745.5595574,gas,total,all,all,all
2080-01-01,2638292091.98896,gas,total,all,all,all
2100-01-01,2859417181.200362,gas,total,all,all,all
2120-01-01,3094212243.932677,gas,total,all,all,all
2140-01-01,3342594339.3707466,gas,total,all,all,all
2160-01-01,3604105334.6447306,gas,total,all,all,all
2180-01-01,3878081883.2731285,gas,total,all,all,all
2200-01-01,4163845884.2628574,gas,total,all,all,all
2020-01-01,2087965638.3737164,total,contained,all,all,all
2040-01-01,2251678077.297813,total,contained,all,all,all
2060-01-01,2415666013.8483744,total,contained,all,all,all
2080-01-01,2579081168.274587,total,contained,all,all,all
2100-01-01,2741153829.704891,total,contained,all,all,all
2120-01-01,2901410024.2465014,total,contained,all,all,all
2140-01-01,3059690049.626976,total,contained,all,all,all
2160-01-01,3216045084.490594,total,contained,all,all,all
2180-01-01,3370609022.2839394,total,contained,all,all,all
2200-01-01,3523495224.98571,total,contained,all,all,all
2020-01-01,83389498.21014859,dissolved_water,contained,all,all,all
2040-01-01,89927871.19950163,dissolved_water,contained,all,all,all
2060-01-01,96477247.05614655,dissolved_water,contained,all,all,all
2080-01-01,103003747.05072966,dissolved_water,contained,all,all,all
2100-01-01,109476630.35008469,dissolved_water,contained,all,all,all
2120-01-01,115876967.31075498,dissolved_water,contained,all,all,all
2140-01-01,122198379.71840733,dissolved_water,contained,all,all,all
2160-01-01,128442911.55374095,dissolved_water,contained,all,all,all
2180-01-01,134615910.27416566,dissolved_water,contained,all,all,all
2200-01-01,140721903.34811577,dissolved_water,contained,all,all,all
2020-01-01,2004576140.163568,gas,contained,all,all,all
2040-01-01,2161750206.0983114,gas,contained,all,all,all
2060-01-01,2319188766.7922277,gas,contained,all,all,all
2080-01-01,2476077421.2238574,gas,contained,all,all,all
2100-01-01,2631677199.354807,gas,contained,all,all,all
2120-01-01,2785533056.9357467,gas,contained,all,all,all
2140-01-01,2937491669.908569,gas,contained,all,all,all
2160-01-01,3087602172.936853,gas,contained,all,all,all
2180-01-01,3235993112.0097737,gas,contained,all,all,all
2200-01-01,3382773321.637594,gas,contained,all,all,all
2020-01-01,1915.1013935250912,total,hazardous,all,all,all
2040-01-01,6368.160989736285,total,hazardous,all,all,all
2060-01-01,18544.433216926725,total,hazardous,all,all,all
2080-01-01,48315.4553145197,total,hazardous,all,all,all
2100-01-01,114546.20991553427,total,hazardous,all,all,all
2120-01-01,250477.6499516893,total,hazardous,all,all,all
2140-01-01,510717.4343193094,total,hazardous,all,all,all
2160-01-01,979603.2540378592,total,hazardous,all,all,all
2180-01-01,1780333.9110768114,total,hazardous,all,all,all
2200-01-01,3083834.1989191305,total,hazardous,all,all,all
2020-01-01,81.66971247140589,dissolved_water,hazardous,all,all,all
2040-01-01,271.57093549291073,dissolved_water,hazardous,all,all,all
2060-01-01,790.8294223439775,dissolved_water,hazardous,all,all,all
2080-01-01,2060.417979331487,dissolved_water,hazardous,all,all,all
2100-01-01,4884.835894391729,dissolved_water,hazardous,all,all,all
2120-01-01,10681.647311850229,dissolved_water,hazardous,all,all,all
2140-01-01,21779.601934400474,dissolved_water,hazardous,all,all,all
2160-01-01,41775.2899996923,dissolved_water,hazardous,all,all,all
2180-01-01,75922.53815507011,dissolved_water,hazardous,all,all,all
2200-01-01,131510.45327768644,dissolved_water,hazardous,all,all,all
2020-01-01,1833.4316810536852,gas,hazardous,all,all,all
2040-01-01,6096.590054243375,gas,hazardous,all,all,all
2060-01-01,17753.60379458275,gas,hazardous,all,all,all
2080-01-01,46255.037335188215,gas,hazardous,all,all,all
2100-01-01,109661.37402114255,gas,hazardous,all,all,all
2120-01-01,239796.00263983908,gas,hazardous,all,all,all
2140-01-01,488937.8323849089,gas,hazardous,all,all,all
2160-01-01,937827.9640381668,gas,hazardous,all,all,all
2180-01-01,1704411.3729217413,gas,hazardous,all,all,all
2200-01-01,2952323.745641444,gas,hazardous,all,all,all
2020-01-01,47574473.02634954,total,outside,all,all,all
2040-01-01,75906622.01491581,total,outside,all,all,all
2060-01-01,115363325.38482502,total,outside,all,all,all
2080-01-01,168194280.6754042,total,outside,all,all,all
2100-01-01,236088623.29821652,total,outside,all,all,all
2120-01-01,319900402.72288114,total,outside,all,all,all
2140-01-01,419648396.00521225,total,outside,all,all,all
2160-01-01,534722745.2464521,total,outside,all,all,all
2180-01-01,664179805.1993177,total,outside,all,all,all
2200-01-01,807033683.2853601,total,outside,all,all,all
2020-01-01,1704441.7221595398,dissolved_water,outside,all,all,all
2040-01-01,2719492.310062141,dissolved_water,outside,all,all,all
2060-01-01,4133100.221290044,dissolved_water,outside,all,all,all
2080-01-01,6025864.947636775,dissolved_water,outside,all,all,all
2100-01-01,8458302.82668217,dissolved_water,outside,all,all,all
2120-01-01,11461011.728590783,dissolved_water,outside,all,all,all
2140-01-01,15034664.37541948,dissolved_water,outside,all,all,all
2160-01-01,19157411.50261298,dissolved_water,outside,all,all,all
2180-01-01,23795445.30888474,dissolved_water,outside,all,all,all
2200-01-01,28913444.405738346,dissolved_water,outside,all,all,all
2020-01-01,45870031.30419,gas,outside,all,all,all
2040-01-01,73187129.70485367,gas,outside,all,all,all
2060-01-01,111230225.16353497,gas,outside,all,all,all
2080-01-01,162168415.7277674,gas,outside,all,all,all
2100-01-01,227630320.47153434,gas,outside,all,all,all
2120-01-01,308439390.99429035,gas,outside,all,all,all
2140-01-01,404613731.62979275,gas,outside,all,all,all
2160-01-01,515565333.7438391,gas,outside,all,all,all
2180-01-01,640384359.890433,gas,outside,all,all,all
2200-01-01,778120238.8796219,gas,outside,all,all,all
2020-01-01,139994068.4457777,total,total,toptherys,all,all
2040-01-01,156691460.8773828,total,total,toptherys,all,all
2060-01-01,174035798.10870433,total,total,toptherys,all,all
2080-01-01,192012703.50567782,total,total,toptherys,all,all
2100-01-01,210623897.18032736,total,total,toptherys,all,all
2120-01-01,229874440.08553278,total,total,toptherys,all,all
2140-01-01,249761522.30777416,total,total,toptherys,all,all
2160-01-01,270269918.06938833,total,total,toptherys,all,all
2180-01-01,291373729.96896183,total,total,toptherys,all,all
2200-01-01,313040834.38716465,total,total,toptherys,all,all
2020-01-01,5591104.999785016,dissolved_water,total,toptherys,all,all
2040-01-01,6257968.070086301,dissolved_water,total,toptherys,all,all
2060-01-01,6950668.922976777,dissolved_water,total,toptherys,all,all
2080-01-01,7668633.382196703,dissolved_water,total,toptherys,all,all
2100-01-01,8411930.145848798,dissolved_water,total,toptherys,all,all
2120-01-01,9180761.339059202,dissolved_water,total,toptherys,all,all
2140-01-01,9975014.739056462,dissolved_water,total,toptherys,all,all
2160-01-01,10794082.256330928,dissolved_water,total,toptherys,all,all
2180-01-01,11636929.596353298,dissolved_water,total,toptherys,all,all
2200-01-01,12502273.800821899,dissolved_water,total,toptherys,all,all
2020-01-01,134402963.4459927,gas,total,toptherys,all,all
2040-01-01,150433492.8072965,gas,total,toptherys,all,all
2060-01-01,167085129.18572757,gas,total,toptherys,all,all
2080-01-01,184344070.12348112,gas,total,toptherys,all,all
2100-01-01,202211967.03447855,gas,total,toptherys,all,all
2120-01-01,220693678.74647358,gas,total,toptherys,all,all
2140-01-01,239786507.5687177,gas,total,toptherys,all,all
2160-01-01,259475835.8130574,gas,total,toptherys,all,all
2180-01-01,279736800.37260854,gas,total,toptherys,all,all
2200-01-01,300538560.58634275,gas,total,toptherys,all,all
2020-01-01,139994068.44577768,total,contained,toptherys,all,all
2040-01-01,156691460.87738255,total,contained,toptherys,all,all
2060-01-01,174035798.10870165,total,contained,toptherys,all,all
2080-01-01,192012703.50565687,total,contained,toptherys,all,all
2100-01-01,210623897.1801953,total,contained,toptherys,all,all
2120-01-01,229874440.08483824,total,contained,toptherys,all,all
2140-01-01,249761522.3046451,total,contained,toptherys,all,all
2160-01-01,270269918.0570576,total,contained,toptherys,all,all
2180-01-01,291373729.925714,total,contained,toptherys,all,all
2200-01-01,313040834.25019413,total,contained,toptherys,all,all
2020-01-01,5591104.999785015,dissolved_water,contained,toptherys,all,all
2040-01-01,6257968.070086292,dissolved_water,contained,toptherys,all,all
2060-01-01,6950668.92297668,dissolved_water,contained,toptherys,all,all
2080-01-01,7668633.382195952,dissolved_water,contained,toptherys,all,all
2100-01-01,8411930.145844067,dissolved_water,contained,toptherys,all,all
2120-01-01,9180761.339034319,dissolved_water,contained,toptherys,all,all
2140-01-01,9975014.73894436,dissolved_water,contained,toptherys,all,all
2160-01-01,10794082.255889159,dissolved_water,contained,toptherys,all,all
2180-01-01,11636929.594803866,dissolved_water,contained,toptherys,all,all
2200-01-01,12502273.795914682,dissolved_water,contained,toptherys,all,all
2020-01-01,134402963.44599268,gas,contained,toptherys,all,all
2040-01-01,150433492.80729625,gas,contained,toptherys,all,all
2060-01-01,167085129.18572497,gas,contained,toptherys,all,all
2080-01-01,184344070.12346092,gas,contained,toptherys,all,all
2100-01-01,202211967.03435123,gas,contained,toptherys,all,all
2120-01-01,220693678.74580392,gas,contained,toptherys,all,all
2140-01-01,239786507.56570074,gas,contained,toptherys,all,all
2160-01-01,259475835.80116847,gas,contained,toptherys,all,all
2180-01-01,279736800.33091015,gas,contained,toptherys,all,all
2200-01-01,300538560.4542794,gas,contained,toptherys,all,all
2020-01-01,0.0,total,hazardous,toptherys,all,all
2040-01-01,0.0,total,hazardous,toptherys,all,all
2060-01-01,0.0,total,hazardous,toptherys,all,all
2080-01-01,0.0,total,hazardous,toptherys,all,all
