date,amount,phase,containment,zone,plume_group,region
2020-01-01,10169247.745245047,total,total,all,all,all
2040-01-01,11083766.987970088,total,total,all,all,all
2060-01-01,12052608.969840076,total,total,all,all,all
2080-01-01,13082494.11621574,total,total,all,all,all
2100-01-01,14177890.472442966,total,total,all,all,all
2120-01-01,15340766.212473022,total,total,all,all,all
2140-01-01,16570710.300316703,total,total,all,all,all
2160-01-01,17865463.966624208,total,total,all,all,all
2180-01-01,19221757.911401592,total,total,all,all,all
2200-01-01,20636251.154618997,total,total,all,all,all
2020-01-01,405209.6266762886,dissolved_water,total,all,all,all
2040-01-01,441179.21466904413,dissolved_water,total,all,all,all
2060-01-01,479100.6576517092,dissolved_water,total,all,all,all
2080-01-01,519198.44007783703,dissolved_water,total,all,all,all
2100-01-01,561618.1810126725,dissolved_water,total,all,all,all
2120-01-01,606422.1937459888,dissolved_water,total,all,all,all
2140-01-01,653594.3985512438,dissolved_water,total,all,all,all
2160-01-01,703057.6111731124,dissolved_water,total,all,all,all
2180-01-01,754701.3243866927,dissolved_water,total,all,all,all
2200-01-01,808413.6105101515,dissolved_water,total,all,all,all
2020-01-01,9764038.118568758,gas,total,all,all,all
2040-01-01,10642587.773301043,gas,total,all,all,all
2060-01-01,11573508.312188368,gas,total,all,all,all
2080-01-01,12563295.676137904,gas,total,all,all,all
2100-01-01,13616272.291430293,gas,total,all,all,all
2120-01-01,14734344.018727032,gas,total,all,all,all
2140-01-01,15917115.901765458,gas,total,all,all,all
2160-01-01,17162406.355451096,gas,total,all,all,all
2180-01-01,18467056.5870149,gas,total,all,all,all
2200-01-01,19827837.544108845,gas,total,all,all,all
2020-01-01,9942693.516065316,total,contained,all,all,all
2040-01-01,10722276.558561014,total,contained,all,all,all
2060-01-01,11503171.494516067,total,contained,all,all,all
2080-01-01,12281338.89654565,total,contained,all,all,all
2100-01-01,13053113.474785194,total,contained,all,all,all
2120-01-01,13816238.210697629,total,contained,all,all,all
2140-01-01,14569952.617271315,total,contained,all,all,all
2160-01-01,15314500.402336162,total,contained,all,all,all
2180-01-01,16050519.153733045,total,contained,all,all,all
2200-01-01,16778548.690408144,total,contained,all,all,all
2020-01-01,397092.84861975524,dissolved_water,contained,all,all,all
2040-01-01,428227.95809286495,dissolved_water,contained,all,all,all
2060-01-01,459415.4621721264,dissolved_water,contained,all,all,all
2080-01-01,490494.03357490315,dissolved_water,contained,all,all,all
2100-01-01,521317.28738135553,dissolved_water,contained,all,all,all
2120-01-01,551795.0824321667,dissolved_water,contained,all,all,all
2140-01-01,581897.0462781301,dissolved_water,contained,all,all,all
2160-01-01,611632.9121606712,dissolved_water,contained,all,all,all
2180-01-01,641028.1441626935,dissolved_water,contained,all,all,all
2200-01-01,670104.3016576942,dissolved_water,contained,all,all,all
