date,amount,phase,containment,zone,plume_group,region
2020-01-01,5900395.199115064,total,total,all,all,all
2040-01-01,6444756.137998253,total,total,all,all,all
2060-01-01,7048783.46780713,total,total,all,all,all
2080-01-01,7723790.948702857,total,total,all,all,all
2100-01-01,8477430.992413444,total,total,all,all,all
2120-01-01,9312830.775380712,total,total,all,all,all
2140-01-01,10228786.626873642,total,total,all,all,all
2160-01-01,11220780.564348772,total,total,all,all,all
2180-01-01,12282337.735263433,total,total,all,all,all
2200-01-01,13406251.324483437,total,total,all,all,all
2020-01-01,482161.9814067272,dissolved_water,total,all,all,all
2040-01-01,526410.7235354566,dissolved_water,total,all,all,all
2060-01-01,575349.9574034938,dissolved_water,total,all,all,all
2080-01-01,629832.8997860363,dissolved_water,total,all,all,all
2100-01-01,690417.3511208041,dissolved_water,total,all,all,all
2120-01-01,757303.2215608739,dissolved_water,total,all,all,all
2140-01-01,830350.4317870542,dissolved_water,total,all,all,all
2160-01-01,909158.5236496523,dissolved_water,total,all,all,all
2180-01-01,993172.4017806356,dissolved_water,total,all,all,all
2200-01-01,1081779.0417454913,dissolved_water,total,all,all,all
2020-01-01,5418233.217708336,gas,total,all,all,all
2040-01-01,5918345.414462798,gas,total,all,all,all
2060-01-01,6473433.510403635,gas,total,all,all,all
2080-01-01,7093958.0489168195,gas,total,all,all,all
2100-01-01,7787013.641292641,gas,total,all,all,all
2120-01-01,8555527.553819837,gas,total,all,all,all
2140-01-01,9398436.19508659,gas,total,all,all,all
2160-01-01,10311622.04069912,gas,total,all,all,all
2180-01-01,11289165.333482798,gas,total,all,all,all
2200-01-01,12324472.282737944,gas,total,all,all,all
2020-01-01,5875172.78934592,total,contained,all,all,all
2040-01-01,6391874.0390488235,total,contained,all,all,all
2060-01-01,6947994.008137219,total,contained,all,all,all
2080-01-01,7547102.7616571,total,contained,all,all,all
2100-01-01,8189532.391081619,total,contained,all,all,all
2120-01-01,8872393.195478579,total,contained,all,all,all
2140-01-01,9589984.949803619,total,contained,all,all,all
2160-01-01,10334436.257564709,total,contained,all,all,all
2180-01-01,11096497.200825855,total,contained,all,all,all
2200-01-01,11866394.224436024,total,contained,all,all,all
2020-01-01,480333.6073170859,dissolved_water,contained,all,all,all
2040-01-01,522577.2968346282,dissolved_water,contained,all,all,all
2060-01-01,568043.72317322,dissolved_water,contained,all,all,all
2080-01-01,617024.7623820234,dissolved_water,contained,all,all,all
2100-01-01,669547.565100003,dissolved_water,contained,all,all,all
2120-01-01,725375.8794716651,dissolved_water,contained,all,all,all
2140-01-01,784043.6750062908,dissolved_water,contained,all,all,all
2160-01-01,844907.4138187481,dissolved_water,contained,all,all,all
2180-01-01,907210.8549253439,dissolved_water,contained,all,all,all
2200-01-01,970154.9465925662,dissolved_water,contained,all,all,all
2020-01-01,5394839.182028834,gas,contained,all,all,all
2040-01-01,5869296.742214196,gas,contained,all,all,all
2060-01-01,6379950.284963998,gas,contained,all,all,all
2080-01-01,6930077.999275076,gas,contained,all,all,all
2100-01-01,7519984.825981616,gas,contained,all,all,all
2120-01-01,8147017.316006913,gas,contained,all,all,all
2140-01-01,8805941.274797328,gas,contained,all,all,all
2160-01-01,9489528.84374596,gas,contained,all,all,all
2180-01-01,10189286.345900511,gas,contained,all,all,all
2200-01-01,10896239.277843457,gas,contained,all,all,all
2020-01-01,0.0004005370213306746,total,hazardous,all,all,all
2040-01-01,0.0023678300980557155,total,hazardous,all,all,all
2060-01-01,0.011450717786597089,total,hazardous,all,all,all
2080-01-01,0.04682436670363892,total,hazardous,all,all,all
2100-01-01,0.16619742988172193,total,hazardous,all,all,all
2120-01-01,0.5228503818134458,total,hazardous,all,all,all
2140-01-01,1.4828305523012797,total,hazardous,all,all,all
2160-01-01,3.844084550441735,total,hazardous,all,all,all
2180-01-01,9.21434588011281,total,hazardous,all,all,all
2200-01-01,20.618784811732446,total,hazardous,all,all,all
2020-01-01,2.4288535218502227e-05,dissolved_water,hazardous,all,all,all
2040-01-01,0.0001435850412453532,dissolved_water,hazardous,all,all,all
2060-01-01,0.0006943706759313079,dissolved_water,hazardous,all,all,all
2080-01-01,0.0028394261184323103,dissolved_water,hazardous,all,all,all
2100-01-01,0.010078199801596249,dissolved_water,hazardous,all,all,all
2120-01-01,0.03170560831179441,dissolved_water,hazardous,all,all,all
2140-01-01,0.08991873453541988,dissolved_water,hazardous,all,all,all
2160-01-01,0.2331050015704353,dissolved_water,hazardous,all,all,all
2180-01-01,0.5587572496571148,dissolved_water,hazardous,all,all,all
2200-01-01,1.2503215792605413,dissolved_water,hazardous,all,all,all
2020-01-01,0.00037624848611217236,gas,hazardous,all,all,all
2040-01-01,0.002224245056810362,gas,hazardous,all,all,all
2060-01-01,0.010756347110665782,gas,hazardous,all,all,all
2080-01-01,0.043984940585206606,gas,hazardous,all,all,all
2100-01-01,0.15611923008012568,gas,hazardous,all,all,all
2120-01-01,0.49114477350165137,gas,hazardous,all,all,all
2140-01-01,1.3929118177658597,gas,hazardous,all,all,all
2160-01-01,3.6109795488712995,gas,hazardous,all,all,all
2180-01-01,8.655588630455696,gas,hazardous,all,all,all
2200-01-01,19.368463232471903,gas,hazardous,all,all,all
2020-01-01,25222.40936860616,total,outside,all,all,all
2040-01-01,52882.09658159987,total,outside,all,all,all
2060-01-01,100789.44821919281,total,outside,all,all,all
2080-01-01,176688.14022138948,total,outside,all,all,all
2100-01-01,287898.4351343956,total,outside,all,all,all
2120-01-01,440437.0570517513,total,outside,all,all,all
2140-01-01,638800.194239471,total,outside,all,all,all
2160-01-01,886340.4626995124,total,outside,all,all,all
2180-01-01,1185831.3200916976,total,outside,all,all,all
2200-01-01,1539836.4812626003,total,outside,all,all,all
2020-01-01,1828.3740653527718,dissolved_water,outside,all,all,all
2040-01-01,3833.426557243324,dissolved_water,outside,all,all,all
2060-01-01,7306.233535903155,dissolved_water,outside,all,all,all
2080-01-01,12808.134564586799,dissolved_water,outside,all,all,all
2100-01-01,20869.77594260121,dissolved_water,outside,all,all,all
2120-01-01,31927.31038360047,dissolved_water,outside,all,all,all
2140-01-01,46306.66686202889,dissolved_water,outside,all,all,all
2160-01-01,64250.87672590256,dissolved_water,outside,all,all,all
2180-01-01,85960.98809804217,dissolved_water,outside,all,all,all
2200-01-01,111622.84483134579,dissolved_water,outside,all,all,all
2020-01-01,23394.03530325339,gas,outside,all,all,all
2040-01-01,49048.67002435655,gas,outside,all,all,all
2060-01-01,93483.21468328965,gas,outside,all,all,all
2080-01-01,163880.00565680268,gas,outside,all,all,all
2100-01-01,267028.6591917944,gas,outside,all,all,all
2120-01-01,408509.7466681508,gas,outside,all,all,all
2140-01-01,592493.5273774421,gas,outside,all,all,all
2160-01-01,822089.5859736098,gas,outside,all,all,all
2180-01-01,1099870.3319936555,gas,outside,all,all,all
2200-01-01,1428213.6364312547,gas,outside,all,all,all
2020-01-01,346524.133236747,total,total,toptherys,all,all
2040-01-01,392892.64204532345,total,total,toptherys,all,all
2060-01-01,442171.1525477621,total,total,toptherys,all,all
2080-01-01,494331.2754051404,total,total,toptherys,all,all
2100-01-01,549272.1241707456,total,total,toptherys,all,all
2120-01-01,606846.8618666545,total,total,toptherys,all,all
2140-01-01,666886.6393259412,total,total,toptherys,all,all
2160-01-01,729211.710517112,total,total,toptherys,all,all
2180-01-01,793642.5470468245,total,total,toptherys,all,all
2200-01-01,860013.1191205982,total,total,toptherys,all,all
2020-01-01,28330.602844884786,dissolved_water,total,toptherys,all,all
2040-01-01,32121.53017596285,dissolved_water,total,toptherys,all,all
2060-01-01,36150.36908190496,dissolved_water,total,toptherys,all,all
2080-01-01,40414.79854951491,dissolved_water,total,toptherys,all,all
