date,amount,phase,containment,zone,plume_group,region
2020-01-01,1518271539.4801717,total,total,all,all,all
2040-01-01,1654420837.3306546,total,total,all,all,all
2060-01-01,1792940794.5564866,total,total,all,all,all
2080-01-01,1935388337.2988527,total,total,all,all,all
2100-01-01,2083178620.0456784,total,total,all,all,all
2120-01-01,2237431661.6470804,total,total,all,all,all
2140-01-01,2398896259.534867,total,total,all,all,all
2160-01-01,2567963760.5450563,total,total,all,all,all
2180-01-01,2744736143.028024,total,total,all,all,all
2200-01-01,2929110512.278131,total,total,all,all,all
2020-01-01,65090888.42767313,dissolved_water,total,all,all,all
2040-01-01,70892218.49138667,dissolved_water,total,all,all,all
2060-01-01,76764832.40046386,dissolved_water,total,all,all,all
2080-01-01,82762354.48657086,dissolved_water,total,all,all,all
2100-01-01,88932583.73722439,dissolved_water,total,all,all,all
2120-01-01,95313321.14046824,dissolved_water,total,all,all,all
2140-01-01,101930721.84318283,dissolved_water,total,all,all,all
2160-01-01,108800057.05714929,dissolved_water,total,all,all,all
2180-01-01,115927542.65309305,dissolved_water,total,all,all,all
2200-01-01,123312290.44937843,dissolved_water,total,all,all,all
2020-01-01,1453180651.0524983,gas,total,all,all,all
2040-01-01,1583528618.839268,gas,total,all,all,all
2060-01-01,1716175962.1560225,gas,total,all,all,all
2080-01-01,1852625982.812282,gas,total,all,all,all
2100-01-01,1994246036.3084543,gas,total,all,all,all
2120-01-01,2142118340.506612,gas,total,all,all,all
2140-01-01,2296965537.6916842,gas,total,all,all,all
2160-01-01,2459163703.487907,gas,total,all,all,all
2180-01-01,2628808600.3749313,gas,total,all,all,all
2200-01-01,2805798221.828753,gas,total,all,all,all
2020-01-01,1515870184.0930436,total,contained,all,all,all
2040-01-01,1649231528.056711,total,contained,all,all,all
2060-01-01,1782767865.3147912,total,contained,all,all,all
2080-01-01,1917085741.7344184,total,contained,all,all,all
2100-01-01,2052668139.2904496,total,contained,all,all,all
2120-01-01,2189894484.690154,total,contained,all,all,all
2140-01-01,2329080538.945868,total,contained,all,all,all
2160-01-01,2470503258.8331537,total,contained,all,all,all
2180-01-01,2614387930.393372,total,contained,all,all,all
2200-01-01,2760868587.940551,total,contained,all,all,all
2020-01-01,65021136.77019157,dissolved_water,contained,all,all,all
2040-01-01,70741485.56833506,dissolved_water,contained,all,all,all
2060-01-01,76469340.45971087,dissolved_water,contained,all,all,all
2080-01-01,82230718.38310316,dissolved_water,contained,all,all,all
2100-01-01,88046336.17651975,dissolved_water,contained,all,all,all
2120-01-01,93932468.81923427,dissolved_water,contained,all,all,all
2140-01-01,99902660.43935563,dissolved_water,contained,all,all,all
2160-01-01,105968790.71139169,dissolved_water,contained,all,all,all
2180-01-01,112140522.96579216,dissolved_water,contained,all,all,all
2200-01-01,118423606.41746727,dissolved_water,contained,all,all,all
2020-01-01,1450849047.322852,gas,contained,all,all,all
2040-01-01,1578490042.488376,gas,contained,all,all,all
2060-01-01,1706298524.8550804,gas,contained,all,all,all
2080-01-01,1834855023.3513155,gas,contained,all,all,all
2100-01-01,1964621803.11393,gas,contained,all,all,all
2120-01-01,2095962015.87092,gas,contained,all,all,all
2140-01-01,2229177878.5065126,gas,contained,all,all,all
2160-01-01,2364534468.1217623,gas,contained,all,all,all
2180-01-01,2502247407.42758,gas,contained,all,all,all
2200-01-01,2642444981.523083,gas,contained,all,all,all
2020-01-01,0.6828309219264266,total,hazardous,all,all,all
2040-01-01,3.88168876939462,total,hazardous,all,all,all
2060-01-01,18.09469049672319,total,hazardous,all,all,all
2080-01-01,71.4711527678784,total,hazardous,all,all,all
2100-01-01,245.47495146102236,total,hazardous,all,all,all
2120-01-01,748.4969370322633,total,hazardous,all,all,all
2140-01-01,2060.539825529146,total,hazardous,all,all,all
