date,amount,phase,containment,zone,plume_group,region
2020-01-01,2950110403.4945683,total,total,all,all,all
2040-01-01,3252753410.99158,total,total,all,all,all
2060-01-01,3569358740.251085,total,total,all,all,all
2080-01-01,3899707149.5106535,total,total,all,all,all
2100-01-01,4242510453.990755,total,total,all,all,all
2120-01-01,4595891582.163779,total,total,all,all,all
2140-01-01,4958056020.216434,total,total,all,all,all
2160-01-01,5327855716.723927,total,total,all,all,all
2180-01-01,5705067814.7428665,total,total,all,all,all
2200-01-01,6090377753.025101,total,total,all,all,all
2020-01-01,83802291.53280652,dissolved_water,total,all,all,all
2040-01-01,91075048.28220338,dissolved_water,total,all,all,all
2060-01-01,98377436.76724656,dissolved_water,total,all,all,all
2080-01-01,105727328.3834149,dissolved_water,total,all,all,all
2100-01-01,113117523.03414893,dissolved_water,total,all,all,all
2120-01-01,120526906.63686956,dissolved_water,total,all,all,all
2140-01-01,127935718.1659766,dissolved_water,total,all,all,all
2160-01-01,135335667.79525465,dissolved_water,total,all,all,all
2180-01-01,142732578.16768703,dissolved_water,total,all,all,all
2200-01-01,150143891.24264374,dissolved_water,total,all,all,all
2020-01-01,2866308111.961762,gas,total,all,all,all
2040-01-01,3161678362.709377,gas,total,all,all,all
2060-01-01,3470981303.4838386,gas,total,all,all,all
2080-01-01,3793979821.1272388,gas,total,all,all,all
2100-01-01,4129392930.9566064,gas,total,all,all,all
2120-01-01,4475364675.52691,gas,total,all,all,all
2140-01-01,4830120302.050457,gas,total,all,all,all
2160-01-01,5192520048.928671,gas,total,all,all,all
2180-01-01,5562335236.57518,gas,total,all,all,all
2200-01-01,5940233861.782457,gas,total,all,all,all
2020-01-01,2801027529.1930046,total,contained,all,all,all
2040-01-01,3025006819.62356,total,contained,all,all,all
2060-01-01,3244595115.6268134,total,contained,all,all,all
2080-01-01,3460642921.755759,total,contained,all,all,all
2100-01-01,3673190289.64567,total,contained,all,all,all
2120-01-01,3881796095.6690555,total,contained,all,all,all
2140-01-01,4085993002.790521,total,contained,all,all,all
2160-01-01,4285551190.3349056,total,contained,all,all,all
2180-01-01,4480513386.085154,total,contained,all,all,all
2200-01-01,4671114971.708718,total,contained,all,all,all
2020-01-01,82528314.49180119,dissolved_water,contained,all,all,all
2040-01-01,89127547.49742211,dissolved_water,contained,all,all,all
2060-01-01,95597406.06268097,dissolved_water,contained,all,all,all
2080-01-01,101962949.10131377,dissolved_water,contained,all,all,all
2100-01-01,108225356.67810643,dissolved_water,contained,all,all,all
2120-01-01,114371631.70928174,dissolved_water,contained,all,all,all
2140-01-01,120388004.7700737,dissolved_water,contained,all,all,all
2160-01-01,126267704.51933739,dissolved_water,contained,all,all,all
2180-01-01,132011989.8707649,dissolved_water,contained,all,all,all
2200-01-01,137627796.01227376,dissolved_water,contained,all,all,all
2020-01-01,2718499214.7012033,gas,contained,all,all,all
2040-01-01,2935879272.1261377,gas,contained,all,all,all
2060-01-01,3148997709.5641327,gas,contained,all,all,all
2080-01-01,3358679972.654445,gas,contained,all,all,all
2100-01-01,3564964932.9675636,gas,contained,all,all,all
2120-01-01,3767424463.959774,gas,contained,all,all,all
2140-01-01,3965604998.0204473,gas,contained,all,all,all
2160-01-01,4159283485.815568,gas,contained,all,all,all
2180-01-01,4348501396.21439,gas,contained,all,all,all
2200-01-01,4533487175.6964445,gas,contained,all,all,all
2020-01-01,120231.73510061833,total,hazardous,all,all,all
2040-01-01,317028.13416623295,total,hazardous,all,all,all
2060-01-01,749690.3158074346,total,hazardous,all,all,all
2080-01-01,1616478.484839267,total,hazardous,all,all,all
2100-01-01,3219011.327986572,total,hazardous,all,all,all
2120-01-01,5979440.893733863,total,hazardous,all,all,all
2140-01-01,10441880.541083181,total,hazardous,all,all,all
