date,amount,phase,containment,zone,plume_group,region
2020-01-01,14048144.778545566,total,total,all,all,all
2040-01-01,15489301.957102764,total,total,all,all,all
2060-01-01,16996946.382148027,total,total,all,all,all
2080-01-01,18570034.045288827,total,total,all,all,all
2100-01-01,20202430.73328931,total,total,all,all,all
2120-01-01,21885198.010303717,total,total,all,all,all
2140-01-01,23609790.572459206,total,total,all,all,all
2160-01-01,25370741.508209176,total,total,all,all,all
2180-01-01,27166989.59401365,total,total,all,all,all
2200-01-01,29001798.823929045,total,total,all,all,all
2020-01-01,399058.5311086025,dissolved_water,total,all,all,all
2040-01-01,433690.7061057304,dissolved_water,total,all,all,all
2060-01-01,468463.9846059361,dissolved_water,total,all,all,all
2080-01-01,503463.4684924518,dissolved_water,total,all,all,all
2100-01-01,538654.8715911853,dissolved_water,total,all,all,all
2120-01-01,573937.6506517598,dissolved_water,total,all,all,all
2140-01-01,609217.7055522695,dissolved_water,total,all,all,all
2160-01-01,644455.5609297839,dissolved_water,total,all,all,all
2180-01-01,679678.9436556525,dissolved_water,total,all,all,all
2200-01-01,714970.9106792558,dissolved_water,total,all,all,all
2020-01-01,13649086.247436963,gas,total,all,all,all
2040-01-01,15055611.250997035,gas,total,all,all,all
2060-01-01,16528482.397542091,gas,total,all,all,all
2080-01-01,18066570.576796375,gas,total,all,all,all
2100-01-01,19663775.861698125,gas,total,all,all,all
2120-01-01,21311260.359651957,gas,total,all,all,all
2140-01-01,23000572.866906937,gas,total,all,all,all
2160-01-01,24726285.94727939,gas,total,all,all,all
2180-01-01,26487310.650358,gas,total,all,all,all
2200-01-01,28286827.91324979,gas,total,all,all,all
2020-01-01,13338226.3294905,total,contained,all,all,all
2040-01-01,14404794.37915981,total,contained,all,all,all
2060-01-01,15450452.931556258,total,contained,all,all,all
2080-01-01,16479252.008360758,total,contained,all,all,all
2100-01-01,17491382.331646048,total,contained,all,all,all
2120-01-01,18484743.31270979,total,contained,all,all,all
2140-01-01,19457109.53709772,total,contained,all,all,all
2160-01-01,20407386.62064241,total,contained,all,all,all
2180-01-01,21335778.02897692,total,contained,all,all,all
2200-01-01,22243404.62718437,total,contained,all,all,all
2020-01-01,392991.9737704818,dissolved_water,contained,all,all,all
2040-01-01,424416.89284486725,dissolved_water,contained,all,all,all
2060-01-01,455225.74315562384,dissolved_water,contained,all,all,all
2080-01-01,485537.85286339885,dissolved_water,contained,all,all,all
2100-01-01,515358.84132431634,dissolved_water,contained,all,all,all
2120-01-01,544626.8176632464,dissolved_water,contained,all,all,all
2140-01-01,573276.213190827,dissolved_water,contained,all,all,all
2160-01-01,601274.7834254162,dissolved_water,contained,all,all,all
2180-01-01,628628.5231941186,dissolved_water,contained,all,all,all
2200-01-01,655370.4572013036,dissolved_water,contained,all,all,all
2020-01-01,12945234.355720017,gas,contained,all,all,all
2040-01-01,13980377.486314943,gas,contained,all,all,all
2060-01-01,14995227.188400634,gas,contained,all,all,all
2080-01-01,15993714.15549736,gas,contained,all,all,all
2100-01-01,16976023.49032173,gas,contained,all,all,all
2120-01-01,17940116.495046545,gas,contained,all,all,all
2140-01-01,18883833.32390689,gas,contained,all,all,all
2160-01-01,19806111.837216992,gas,contained,all,all,all
2180-01-01,20707149.505782805,gas,contained,all,all,all
2200-01-01,21588034.169983063,gas,contained,all,all,all
2020-01-01,572.5320719077063,total,hazardous,all,all,all
2040-01-01,1509.6577817439666,total,hazardous,all,all,all
2060-01-01,3569.9538847973085,total,hazardous,all,all,all
2080-01-01,7697.5165944727005,total,hazardous,all,all,all
2100-01-01,15328.625371364631,total,hazardous,all,all,all
2120-01-01,28473.528065399343,total,hazardous,all,all,all
2140-01-01,49723.24067182468,total,hazardous,all,all,all
2160-01-01,82145.19706677487,total,hazardous,all,all,all
2180-01-01,129054.44133355685,total,hazardous,all,all,all
2200-01-01,193685.09163984493,total,hazardous,all,all,all
2020-01-01,10.506054345501362,dissolved_water,hazardous,all,all,all
2040-01-01,27.702459785812504,dissolved_water,hazardous,all,all,all
